City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
los llanos de aridane,28.66,-17.92,66.2,72,75,11.41,ES,1583003147
tuktoyaktuk,69.45,-133.04,-25.6,74,90,8.05,CA,1583002973
saalfeld,50.65,11.37,50.0,81,40,16.11,DE,1583003148
vila franca do campo,37.72,-25.43,62.6,88,40,24.16,PT,1583003148
puerto ayora,-0.74,-90.35,86.0,66,40,13.87,EC,1583003148
avarua,-21.21,-159.78,77.0,94,8,5.82,CK,1583003148
severo-kurilsk,50.68,156.12,21.7,93,95,7.43,RU,1583002993
saint-georges,12.06,-61.75,82.4,65,20,19.46,GD,1583003148
san isidro,-12.12,-77.05,80.6,65,17,12.75,PE,1583003148
broome,42.25,-75.83,24.01,52,40,10.29,US,1583003148
pisco,-13.7,-76.22,75.99,30,20,9.17,PE,1583003148
mayumba,-3.43,10.66,81.01,84,100,16.26,GA,1583003149
sikeston,36.88,-89.59,46.99,52,1,4.7,US,1583003149
praia,14.92,-23.51,80.6,42,0,24.16,CV,1583003149
bengkulu,-3.8,102.27,75.07,93,100,3.87,ID,1583003149
mayna,54.11,47.62,28.04,91,100,8.84,RU,1583003149
alofi,-19.06,-169.92,75.2,100,1,3.36,NU,1583003149
rocha,-34.48,-54.33,82.54,40,14,12.08,UY,1583002944
biak,-0.91,122.88,83.41,75,100,8.7,ID,1583003149
barrow,71.29,-156.79,-5.8,83,90,12.75,US,1583002926
srednekolymsk,67.45,153.68,0.05,83,0,10.09,RU,1583002994
dikson,73.51,80.55,7.77,94,100,17.49,RU,1583003149
bambous virieux,-20.34,57.76,78.01,100,40,1.12,MU,1583003141
klaebu,63.3,10.48,28.4,68,52,12.75,NO,1583003150
beyneu,45.32,55.2,43.12,68,62,7.85,KZ,1583003150
tuatapere,-46.13,167.68,48.99,87,68,1.99,NZ,1583003013
malanje,-9.54,16.34,66.87,92,100,3.11,AO,1583003150
coihaique,-45.58,-72.07,75.2,44,20,8.05,CL,1583003150
galesong,-5.32,119.37,77.0,94,20,1.12,ID,1583003150
jalalpur,32.64,74.22,60.8,72,40,7.27,PK,1583003150
peniche,39.36,-9.38,60.01,72,75,9.17,PT,1583003150
kaitangata,-46.28,169.85,53.33,74,36,11.88,NZ,1583003003
jadu,31.95,12.03,66.11,25,0,6.17,LY,1583003151
thompson,55.74,-97.86,24.8,85,90,3.36,CA,1583003151
kachug,53.96,105.88,6.08,93,97,1.5,RU,1583003151
yabelo,4.88,38.08,78.75,36,55,7.18,ET,1583003151
inhambane,-23.86,35.38,76.01,72,52,21.81,MZ,1583002970
tasiilaq,65.61,-37.64,19.4,67,20,8.05,GL,1583002955
olafsvik,64.89,-23.71,30.24,93,100,13.8,IS,1583003151
hasaki,35.73,140.83,46.4,93,75,6.93,JP,1583003151
nianzishan,47.52,122.88,8.11,93,28,3.29,CN,1583003106
beaverlodge,55.22,-119.44,19.4,85,90,23.04,CA,1583003151
dubai,25.26,55.3,71.6,78,0,2.24,AE,1583002923
port elizabeth,-33.92,25.57,66.2,77,27,16.11,ZA,1583002970
tezu,27.92,96.17,61.54,54,0,4.07,IN,1583003152
batagay,67.63,134.63,-6.77,74,0,2.53,RU,1583003152
san rafael,-34.62,-68.33,92.55,13,0,19.69,AR,1583003152
pafos,34.77,32.42,51.8,71,75,16.11,CY,1583003152
faanui,-16.48,-151.75,82.0,78,100,13.94,PF,1583002975
dingle,11.0,122.67,72.54,86,57,10.49,PH,1583002968
beringovskiy,63.05,179.32,-7.56,83,0,20.07,RU,1583003152
saint-augustin,51.23,-58.65,24.96,87,100,12.06,CA,1583003152
mildura,-34.2,142.15,64.4,52,73,4.7,AU,1583003021
arkhangelsk,64.54,40.54,21.2,92,90,6.71,RU,1583003153
lidkoping,58.51,13.16,34.0,100,100,14.99,SE,1583003153
houston,29.76,-95.36,73.99,35,1,9.17,US,1583003043
mahebourg,-20.41,57.7,78.01,100,40,1.12,MU,1583002930
port alfred,-33.59,26.89,66.0,89,68,4.0,ZA,1583002970
asau,46.43,26.4,41.0,56,23,12.75,RO,1583003153
pevek,69.7,170.31,5.45,96,100,5.39,RU,1583003153
lowicz,52.11,19.95,44.01,65,100,9.17,PL,1583003153
westport,41.14,-73.36,37.0,29,75,12.75,US,1583003153
abu zabad,12.35,29.25,75.69,10,0,9.86,SD,1583003153
atar,20.52,-13.05,88.92,4,0,11.41,MR,1583003153
shwebo,22.57,95.7,70.9,41,0,2.82,MM,1583003154
zyryanka,65.75,150.85,1.27,80,0,12.59,RU,1583003154
hamilton,39.18,-84.53,36.0,48,1,8.05,US,1583002930
husavik,66.04,-17.34,35.6,69,75,26.4,IS,1583003154
tiksi,71.69,128.87,-6.12,88,0,5.03,RU,1583002954
malanville,11.87,3.39,90.64,12,35,6.49,BJ,1583003154
airai,-8.93,125.41,68.45,87,100,5.39,TL,1583003154
mattru,7.62,-11.83,89.2,52,40,10.47,SL,1583003154
geraldton,-28.77,114.6,69.8,88,75,12.75,AU,1583002989
buraydah,26.33,43.98,75.2,31,40,14.99,SA,1583002993
ulladulla,-35.35,150.47,62.6,100,29,3.98,AU,1583003155
tamandare,-8.76,-35.1,82.72,74,0,13.96,BR,1583003155
aklavik,68.22,-135.01,-16.6,74,75,3.36,CA,1583003155
bilibino,68.05,166.44,-7.71,100,100,2.1,RU,1583003155
saint-quentin,49.83,3.33,42.8,81,94,20.8,FR,1583003155
kodinsk,58.69,99.18,15.35,95,100,7.09,RU,1583003155
sur,22.57,59.53,68.76,69,0,3.83,OM,1583003155
saskylakh,71.92,114.08,-4.23,86,100,2.3,RU,1583003143
marawi,8.0,124.29,73.0,89,75,7.0,PH,1583003155
chingola,-12.53,27.88,66.2,96,100,3.44,ZM,1583003156
carnarvon,-24.87,113.63,75.2,83,0,17.22,AU,1583003156
olga,43.74,135.29,27.21,90,100,21.32,RU,1583003156
arraial do cabo,-22.97,-42.03,77.0,88,75,9.17,BR,1583003156
vakhrushi,58.68,50.03,27.82,91,98,8.81,RU,1583003156
ixtapa,20.7,-105.2,82.4,54,5,5.82,MX,1583003156
kenai,60.55,-151.26,8.6,71,1,9.17,US,1583003156
rio gallegos,-51.62,-69.22,77.0,25,100,25.28,AR,1583003156
chuy,-33.7,-53.46,83.35,46,0,12.33,UY,1583003156
gasa,31.5,34.47,59.0,77,75,12.75,PS,1583003156
vieux-habitants,16.06,-61.77,82.4,65,90,11.41,GP,1583003156
richards bay,-28.78,32.04,72.82,62,69,10.22,ZA,1583002949
mar del plata,-38.0,-57.56,77.0,69,0,9.17,AR,1583003157
kaeo,-35.1,173.78,64.0,100,71,8.75,NZ,1583003157
souillac,-20.52,57.52,78.01,100,40,1.12,MU,1583003157
uberaba,-19.75,-47.93,78.8,74,75,18.34,BR,1583003157
hami,42.8,93.45,32.59,42,0,2.91,CN,1583003157
grand gaube,-20.01,57.66,78.01,100,40,1.12,MU,1583003157
mosquera,4.71,-74.23,68.0,52,40,12.75,CO,1583003157
sitka,57.05,-135.33,35.6,81,90,5.82,US,1583003157
roma,43.21,-75.46,21.99,57,90,14.99,US,1583003047
yanam,16.73,82.22,72.12,80,0,2.37,IN,1583003157
cayenne,4.93,-52.33,84.2,66,83,10.29,GF,1583003157
chimbote,-9.09,-78.58,84.15,55,39,12.97,PE,1583003158
asfi,32.3,-9.24,59.7,77,0,11.36,MA,1583003158
puri,19.8,85.85,71.6,88,0,4.36,IN,1583003158
salalah,17.02,54.09,77.0,61,0,4.7,OM,1583003158
cherskiy,68.75,161.3,-6.9,99,97,4.0,RU,1583002976
haibara,34.53,135.95,48.2,87,90,3.36,JP,1583003158
moquegua,-17.2,-70.94,80.6,65,89,9.17,PE,1583003158
krasnoborsk,61.56,45.93,19.72,87,100,7.4,RU,1583003158
kavieng,-2.57,150.8,84.11,74,40,2.24,PG,1583003158
noumea,-22.28,166.46,84.2,62,100,5.82,NC,1583003159
bambanglipuro,-7.95,110.28,76.82,90,100,3.47,ID,1583003159
severobaykalsk,55.65,109.32,12.27,93,100,5.32,RU,1583003159
georgetown,5.41,100.34,82.4,74,20,3.36,MY,1583003159
black river,18.03,-77.85,75.99,78,90,16.11,JM,1583003159
katsuura,35.13,140.3,51.8,87,75,13.87,JP,1583003156
constitucion,-35.33,-72.42,74.01,46,0,5.73,CL,1583002996
bahjoi,28.4,78.62,62.92,86,99,6.51,IN,1583003159
ballina,-28.87,153.57,72.0,94,90,5.82,AU,1583003159
nhulunbuy,-12.23,136.77,80.6,88,74,3.51,AU,1583003159
omsukchan,62.53,155.8,-5.13,99,100,4.56,RU,1583003159
lakes entrance,-37.88,147.98,52.0,96,82,4.18,AU,1583003160
codrington,-38.27,141.97,59.74,85,100,8.23,AU,1583003160
svetlyy,54.67,20.13,39.2,80,90,11.18,RU,1583003096
sangar,63.92,127.47,-8.03,84,0,3.33,RU,1583003160
vilhena,-12.74,-60.15,80.6,78,75,3.36,BR,1583003160
the pas,53.83,-101.25,26.6,73,90,4.7,CA,1583003160
talnakh,69.49,88.4,-0.4,84,79,6.71,RU,1583003160
arlit,18.74,7.39,83.21,7,0,10.09,NE,1583003161
nishihara,26.18,127.76,71.6,88,20,12.75,JP,1583003161
provideniya,64.38,-173.3,-8.81,81,0,9.69,RU,1583003161
khonsa,27.02,95.57,57.02,84,50,4.43,IN,1583003161
hirara,24.8,125.28,73.22,82,48,14.76,JP,1583003161
moscow,55.75,37.62,32.0,92,74,4.47,RU,1583003148
chokurdakh,70.63,147.92,-3.89,87,51,7.67,RU,1583003159
odzaci,45.51,19.26,48.0,52,100,12.75,RS,1583003161
yuzhou,34.16,113.46,44.6,93,75,2.24,CN,1583003161
yarada,17.65,83.27,75.2,78,20,2.24,IN,1583003161
ushtobe,45.25,77.98,33.57,66,0,5.01,KZ,1583003161
saint anthony,45.02,-93.22,37.99,91,1,9.17,US,1583003162
iquitos,-3.75,-73.25,42.8,100,75,5.82,PE,1583002950
butaritari,3.07,172.79,84.31,80,98,19.22,KI,1583002924
xinzhou,38.41,112.73,34.11,43,83,5.17,CN,1583003162
ostrovnoy,68.05,39.51,23.5,94,100,18.34,RU,1583003162
bull savanna,17.89,-77.59,78.57,67,86,6.89,JM,1583003162
kanker,20.27,81.49,71.06,35,0,5.68,IN,1583003162
bulri,24.87,68.33,69.33,62,0,10.11,PK,1583003162
portland,45.52,-122.68,48.0,75,90,4.7,US,1583003038
carmelo,-33.99,-58.29,93.0,38,11,6.93,UY,1583003163
kandrian,-6.22,149.55,74.84,93,59,3.36,PG,1583003163
turba,59.08,24.23,36.0,96,90,11.41,EE,1583003163
khartoum,15.55,32.53,82.4,10,0,10.29,SD,1583003015
kirakira,-10.45,161.92,77.83,80,4,3.49,SB,1583002983
eureka,40.8,-124.16,52.0,70,40,12.75,US,1583003163
kolomak,49.84,35.3,35.46,72,11,4.12,UA,1583003163
guararapes,-21.26,-50.64,80.58,70,71,5.46,BR,1583003163
kavaratti,10.57,72.64,83.59,70,100,5.44,IN,1583003164
robertsport,6.75,-11.37,82.4,83,18,14.0,LR,1583003164
elmira,42.09,-76.81,24.01,57,75,17.22,US,1583003164
sabya,17.15,42.63,82.4,69,0,8.05,SA,1583003164
necochea,-38.55,-58.74,78.01,62,0,7.0,AR,1583003164
lorengau,-2.02,147.27,83.82,76,59,4.97,PG,1583003004
linxia,35.6,103.21,26.15,69,92,2.95,CN,1583003164
krasnoselkup,65.7,82.47,-3.5,94,0,7.14,RU,1583003164
gat,31.61,34.76,59.0,77,75,12.75,IL,1583003100
holme,56.11,10.17,46.4,93,100,9.17,DK,1583003165
prince albert,53.2,-105.77,32.0,90,75,17.22,CA,1583003165
rundu,-17.93,19.77,69.8,94,99,4.7,NA,1583003165
olinda,-8.01,-34.86,86.0,70,40,14.99,BR,1583003165
tandalti,13.02,31.87,80.96,8,100,11.41,SD,1583003165
valparaiso,-33.04,-71.63,62.6,100,90,9.17,CL,1583003109
pineville,31.32,-92.43,72.0,30,1,8.05,US,1583003126
yarim,14.3,44.38,61.02,61,5,3.98,YE,1583003165
camacha,33.08,-16.33,68.0,77,20,13.87,PT,1583003165
choix,26.71,-108.32,82.2,17,45,0.67,MX,1583003165
balkhash,46.84,74.98,23.09,74,0,13.98,KZ,1583003166
tandil,-37.32,-59.13,91.0,36,0,1.99,AR,1583002915
fort nelson,58.81,-122.7,3.2,65,75,4.7,CA,1583003166
deputatskiy,69.3,139.9,-0.96,57,6,3.29,RU,1583002937
gimli,50.63,-96.99,30.0,98,85,8.01,CA,1583003166
khimki,55.9,37.44,32.0,86,40,11.18,RU,1583003166
ilulissat,69.22,-51.1,-5.8,39,20,1.97,GL,1583003004
vestmannaeyjar,63.44,-20.27,39.2,80,40,33.33,IS,1583003001
bonaventure,48.05,-65.49,27.0,42,75,9.17,CA,1583003166
zalantun,48.0,122.72,7.77,95,85,3.67,CN,1583003166
auki,-8.77,160.7,83.95,75,68,7.78,SB,1583003166
rawson,-43.3,-65.1,69.04,52,0,10.16,AR,1583002969
yining,29.04,114.56,51.42,96,100,2.37,CN,1583003167
margate,51.38,1.39,43.0,64,63,18.34,GB,1583003167
paamiut,61.99,-49.67,5.65,59,0,15.03,GL,1583002984
keti bandar,24.14,67.45,71.64,83,0,9.64,PK,1583003167
la vega,19.22,-70.53,89.01,51,75,4.7,DO,1583003167
nome,64.5,-165.41,-11.0,91,1,3.44,US,1583002945
yasnyy,51.03,59.87,21.61,91,39,10.76,RU,1583003167
nyurba,63.28,118.33,-1.53,99,94,2.35,RU,1583003006
vieques,18.43,-65.83,86.0,62,40,17.22,PR,1583003167
lata,40.16,-8.33,59.0,77,40,9.17,PT,1583002983
yerbogachen,61.28,108.01,6.51,96,100,3.74,RU,1583003168
ipixuna,-1.76,-48.8,82.4,78,75,4.7,BR,1583003168
sofia,42.7,23.32,33.8,74,0,4.7,BG,1583002951
sobolevo,54.43,31.9,29.97,86,32,8.84,RU,1583003168
morant bay,17.88,-76.41,80.01,88,75,10.29,JM,1583002965
bagli,22.65,76.35,73.4,56,15,5.82,IN,1583003168
kasongo-lunda,-6.47,16.82,70.12,98,86,2.51,CD,1583003168
nyimba,-14.56,30.81,68.45,94,23,4.9,ZM,1583003168
kerman,30.28,57.08,50.0,16,0,4.7,IR,1583003168
kupang,-10.17,123.58,84.63,78,100,21.03,ID,1583003168
aitape,-3.14,142.35,82.49,80,100,7.2,PG,1583003169
bemidji,47.47,-94.88,36.0,99,1,9.17,US,1583003169
praia da vitoria,38.73,-27.07,68.0,64,40,15.19,PT,1583003169
broumov,50.59,16.33,46.4,73,100,21.92,CZ,1583003169
brigham city,41.51,-112.02,53.01,29,1,9.98,US,1583002978
banjar,-8.19,114.97,82.44,79,100,6.98,ID,1583003169
sayyan,15.17,44.32,57.45,55,0,2.26,YE,1583003169
muswellbrook,-32.27,150.9,66.0,86,74,1.01,AU,1583003169
araouane,18.9,-3.53,81.82,4,0,6.67,ML,1583003169
harper,4.38,-7.72,80.42,87,85,6.35,LR,1583003008
plettenberg bay,-34.05,23.37,66.52,80,0,16.37,ZA,1583003170
nisia floresta,-6.09,-35.21,89.6,59,40,18.34,BR,1583003170
muros,42.78,-9.06,55.0,81,75,6.93,ES,1583003170
katherine,-14.47,132.27,78.8,88,90,5.82,AU,1583003170
tofield,53.37,-112.67,33.01,94,90,14.99,CA,1583003170
buba,11.58,-15.0,91.8,33,6,13.11,GW,1583003170
terney,45.05,136.61,17.56,91,100,4.29,RU,1583003170
pecos,31.42,-103.49,66.2,15,1,3.36,US,1583003170
bom jesus da lapa,-13.26,-43.42,87.08,63,90,1.43,BR,1583002972
mwanza,-2.52,32.9,77.0,65,20,5.12,TZ,1583003170
makakilo city,21.35,-158.09,73.0,77,40,14.99,US,1583003171
nautla,20.22,-96.78,68.36,75,42,5.17,MX,1583003171
mmabatho,-25.85,25.63,69.8,60,40,8.05,ZA,1583003171
sao filipe,14.9,-24.5,75.92,54,0,14.94,CV,1583003171
brae,60.4,-1.35,41.0,93,100,14.99,GB,1583003171
sarangani,5.4,125.46,81.32,78,41,21.83,PH,1583003171
verkhoyansk,67.54,133.38,-10.44,72,0,2.19,RU,1583003171
high level,58.52,-117.14,5.0,71,75,11.41,CA,1583003171
karasburg,-28.02,18.75,91.54,20,59,11.79,NA,1583003171
markova,48.68,24.41,37.4,47,61,6.71,UA,1583003171
jabinyanah,35.03,10.91,64.4,59,19,9.17,TN,1583003172
erenhot,43.65,111.98,20.28,91,98,10.51,CN,1583003107
sandwick,60.0,-1.25,41.0,80,100,11.41,GB,1583003172
makarov,48.63,142.8,6.1,82,0,2.8,RU,1583003172
zhangye,38.93,100.45,31.26,43,89,0.72,CN,1583003172
katsikas,39.62,20.89,42.8,56,69,1.12,GR,1583003172
paracuru,-3.41,-39.03,87.8,58,40,8.05,BR,1583003172
matagami,49.75,-77.63,6.8,77,90,5.82,CA,1583003172
rampura,30.25,75.23,57.87,86,2,6.35,IN,1583003172
barabinsk,55.36,78.36,29.01,96,100,7.63,RU,1583003172
verkh-chebula,56.03,87.62,14.45,92,91,2.15,RU,1583003172
zhigansk,66.77,123.37,-2.49,94,94,9.22,RU,1583003173
todos santos,23.45,-110.22,84.0,17,5,3.06,MX,1583003173
tautira,-17.73,-149.15,75.2,94,75,6.93,PF,1583002883
redmond,47.67,-122.12,46.99,81,75,5.82,US,1583003006
cabanglasan,8.12,125.33,66.87,99,75,0.69,PH,1583003173
scarborough,54.28,-0.4,42.01,62,34,14.99,GB,1583002900
laguna,38.42,-121.42,64.0,42,1,4.7,US,1583003173
half moon bay,37.46,-122.43,61.0,71,75,16.11,US,1583003173
monywa,22.12,95.13,72.72,37,0,3.51,MM,1583003173
finote selam,10.7,37.27,70.5,31,88,3.69,ET,1583003173
dargaville,-35.93,173.88,61.09,98,84,2.26,NZ,1583003174
mwinilunga,-11.74,24.43,65.68,96,100,3.96,ZM,1583003174
rio grande,-32.03,-52.1,89.6,24,0,11.41,BR,1583003174
papar,5.73,115.93,79.0,88,20,3.36,MY,1583003174
erbaa,40.67,36.57,46.4,87,90,9.17,TR,1583003174
catuday,16.29,119.81,78.35,74,0,12.66,PH,1583003174
naryan-mar,67.67,53.09,21.45,96,100,3.89,RU,1583003174
quatre cocos,-20.21,57.76,78.01,100,40,1.12,MU,1583003174
colombo,6.93,79.85,82.4,78,100,2.24,LK,1583003175
porto novo,6.5,2.6,86.0,84,20,11.41,BJ,1583002898
samarai,-10.62,150.67,76.98,86,73,2.82,PG,1583003175
nantucket,41.28,-70.1,39.0,47,40,18.34,US,1583002892
natal,-5.79,-35.21,89.6,59,40,18.34,BR,1583002958
filingue,14.35,3.32,81.45,12,0,2.62,NE,1583003166
mehran,33.12,46.16,53.6,71,75,4.7,IR,1583003175
zhangjiakou,40.81,114.88,22.98,65,90,12.41,CN,1583003175
moa,20.66,-74.94,65.97,97,99,6.67,CU,1583002985
college,64.86,-147.8,-5.01,73,1,2.21,US,1583003175
punta gorda,26.93,-82.05,69.01,22,1,11.41,US,1583003175
alice springs,-23.7,133.88,69.8,22,80,3.36,AU,1583003176
narsaq,60.92,-46.05,12.2,39,5,1.66,GL,1583003176
eha amufu,6.66,7.76,94.17,22,53,2.91,NG,1583003176
saint-ambroise,48.55,-71.33,19.99,67,75,11.41,CA,1583003176
claveria,18.61,121.08,68.43,86,0,4.32,PH,1583003176
bowen,-20.02,148.23,75.99,88,40,5.82,AU,1583003176
tomigusuku,26.18,127.67,71.6,88,20,12.75,JP,1583003176
abbeville,50.1,1.83,44.6,75,97,21.92,FR,1583003176
las palmas,28.42,-14.01,66.2,72,20,16.11,ES,1583003176
beloha,-25.17,45.05,72.95,82,78,13.06,MG,1583003147
wenling,28.37,121.36,55.0,94,100,1.01,CN,1583003176
teya,60.38,92.63,7.92,95,94,4.61,RU,1583003065
omaruru,-21.43,15.93,70.07,66,97,7.05,NA,1583003177
harnai,30.1,67.94,63.46,41,0,1.48,PK,1583003177
ossora,59.24,163.07,2.89,64,0,5.84,RU,1583003177
jinchang,38.5,102.17,25.75,81,100,2.84,CN,1583003177
saldanha,-33.01,17.94,82.4,23,0,12.75,ZA,1583003177
candelaria,13.93,121.42,75.0,91,5,4.74,PH,1583003177
dunedin,-45.87,170.5,53.01,79,18,5.01,NZ,1583003177
port-gentil,-0.72,8.78,82.4,88,40,5.82,GA,1583003177
saint-paul,-21.01,55.27,80.6,83,40,9.17,RE,1583003165
dubbo,-32.25,148.62,68.0,77,97,11.41,AU,1583003043
koshurnikovo,54.17,93.3,26.65,97,100,6.08,RU,1583003177
bossangoa,6.49,17.46,87.87,14,55,4.63,CF,1583003178
say,13.1,2.37,96.8,7,0,4.7,NE,1583003178
lashio,22.93,97.75,56.41,57,0,0.58,MM,1583003178
ketchikan,55.34,-131.65,41.0,80,90,11.41,US,1583003178
barranca,-10.75,-77.77,73.94,91,81,10.78,PE,1583003111
san quintin,30.48,-115.95,65.23,50,86,6.85,MX,1583003016
lavrentiya,65.58,-171.0,-11.96,89,15,5.93,RU,1583003178
palmer,42.16,-72.33,35.01,58,75,9.17,US,1583002970
iqaluit,63.75,-68.51,-9.0,76,40,3.36,CA,1583003176
skjervoy,70.03,20.97,29.52,70,100,19.04,NO,1583002977
florence,43.77,11.25,55.0,53,75,1.12,IT,1583003179
hilpoltstein,49.19,11.19,50.0,71,40,16.11,DE,1583003179
khorixas,-20.37,14.97,70.56,76,100,10.2,NA,1583003179
oyama,36.3,139.8,52.0,87,75,3.36,JP,1583003179
suntar,62.14,117.63,0.27,99,85,1.01,RU,1583003179
cam ranh,11.92,109.16,78.8,83,20,5.82,VN,1583003179
guantanamo,20.14,-75.21,82.4,58,75,18.34,CU,1583003179
dharchula,29.85,80.53,35.13,57,100,11.18,IN,1583003179
dzilam gonzalez,21.28,-88.93,70.29,64,0,20.27,MX,1583003179
nalut,30.33,10.85,65.07,16,0,7.31,LY,1583002926
mukerian,31.95,75.62,58.93,81,100,6.13,IN,1583003179
markala,13.7,-6.07,92.97,7,50,8.05,ML,1583003180
caravelas,-17.71,-39.25,82.78,68,54,7.38,BR,1583002991
hue,16.47,107.6,73.4,94,20,2.24,VN,1583003180
guadalajara,20.67,-103.33,81.0,36,5,4.7,MX,1583003180
